Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Onn,stephen,Onn (Walmart),Onn 2k TV stick,1030MB,TV,Amlogic AMLS805Y,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Ooredoo,diw387oor,Ooredoo,Ooredoo TV,1810MB,TV,Broadcom BCM7271,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
Optage,Amigo7xJP,Optage,Amigo7xJP,2087MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Orange,DV8555-KPO,Orange,DV8555,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
ARRIS,zc4455v_orb,Orange,TV Box,1751MB,TV,Broadcom BCM72115,Unknown,1080x1920,320,armeabi;armeabi-v7a,29,3.1
ARRIS,zi4450v_ors,Orange,TV Box,1772MB,TV,Broadcom BCM72115,Unknown,1080x1920,320,armeabi;armeabi-v7a,29,3.1
KaonMedia,KSTB6130,Orange TV,Descodificador Orange TV,1809MB,TV,Broadcom BCM7267,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.1
ORIENT,R1,Orient,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
ORIENT,R2,Orient,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
PILOT,redwood,PILOT,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
PILOT,samseong,PILOT,PQ55CH,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
PrismPlus,SW4H,PRISMPLUS,PrismPlus 4K Android TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
PrismPlus,SW4H_FF,PRISMPLUS,PrismPlus 4K Pro Android TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Prismplus,shibuya,PRISMPLUS,Prismplus TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
PrismPlus,sunnyvale,PRISMPLUS,PrismPlus Android TV,960MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
Panasonic,Jupiter,Panasonic,Panasonic,1778MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Panasonic,OD0M_EA_T32,Panasonic,Panasonic 2021 UHD Android TV,1412MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
PANASONIC,R1,Panasonic,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
PANASONIC,R2,Panasonic,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
PANASONIC,R3,Panasonic,Android TV,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
PANASONIC,R4,Panasonic,Android TV,2147MB,TV,Realtek RTD2851M,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
Panasonic,SW3H_ATV,Panasonic,Panasonic TV,1641MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
